Year,Experiment name,Field,X,Y,Plot length,Plot rows,Row Spacing,Final population,Planting rate,Plot number,Rep,Barcode,Trt,Trt Description,Placement,Timing,TrtByV6,Hybrid,Plot Notes,V6NDVI
2020,N sidedress timing,C800,297,4,37.5,2,30,36000,37895,1037,1,20349B1037,9,90 Band + 90 @ V12,Band,V12,90 Band,DKC66-17,,0.499794393
2020,N sidedress timing,C800,301,4,37.5,2,30,36000,37895,1038,1,20349B1038,10,90 Band + 90 @ R1,Band,R1,90 Band,DKC64-34,,0.504283019
2020,N sidedress timing,C800,305,4,37.5,2,30,36000,37895,1039,1,20349B1039,5,90 Broad + 90 @ R1,Broad,R1,90 Broad,DKC64-34,,0.539697248
2020,N sidedress timing,C800,309,4,37.5,2,30,36000,37895,1040,1,20349B1040,7,90 Band + 90 @ V4,Band,V4,90 Band + 90 @ V4,DKC61-40,,0.444227723
2020,N sidedress timing,C800,313,4,37.5,2,30,36000,37895,2001,2,20349B2001,9,90 Band + 90 @ V12,Band,V12,90 Band,DKC63-90,,0.438836538
2020,N sidedress timing,C800,317,4,37.5,2,30,36000,37895,2002,2,20349B2002,2,90 Broad + 90 @ V4,Broad,V4,90 Broad + 90 @ V4,DKC61-40,,0.506761905
2020,N sidedress timing,C800,321,4,37.5,2,30,36000,37895,2003,2,20349B2003,9,90 Band + 90 @ V12,Band,V12,90 Band,DKC61-40,,0.455423077
2020,N sidedress timing,C800,325,4,37.5,2,30,36000,37895,2004,2,20349B2004,2,90 Broad + 90 @ V4,Broad,V4,90 Broad + 90 @ V4,DKC64-34,,0.499711538
2020,N sidedress timing,C800,329,4,37.5,2,30,36000,37895,2005,2,20349B2005,7,90 Band + 90 @ V4,Band,V4,90 Band + 90 @ V4,DKC63-90,,0.43612
2020,N sidedress timing,C800,333,4,37.5,2,30,36000,37895,2006,2,20349B2006,4,90 Broad + 90 @ V12,Broad,V12,90 Broad,DKC61-40,,.
2020,N sidedress timing,C800,337,4,37.5,2,30,36000,37895,2007,2,20349B2007,10,90 Band + 90 @ R1,Band,R1,90 Band,DKC64-34,,.
2020,N sidedress timing,C800,341,4,37.5,2,30,36000,37895,2008,2,20349B2008,8,90 Band + 90 @ V8,Band,V8,90 Band,DKC61-40,,.
2020,N sidedress timing,C800,341,5,37.5,2,30,36000,37895,2009,2,20349B2009,5,90 Broad + 90 @ R1,Broad,R1,90 Broad,DKC61-40,,.
2020,N sidedress timing,C800,337,5,37.5,2,30,36000,37895,2010,2,20349B2010,2,90 Broad + 90 @ V4,Broad,V4,90 Broad + 90 @ V4,DKC66-17,,.
2020,N sidedress timing,C800,333,5,37.5,2,30,36000,37895,2011,2,20349B2011,6,90 Broad + 90 Band,Band,Pre,90 Broad + 90 Band,DKC64-34,,.
2020,N sidedress timing,C800,329,5,37.5,2,30,36000,37895,2012,2,20349B2012,3,90 Broad + 90 @ V8,Broad,V8,90 Broad,DKC61-40,,0.54223301
2020,N sidedress timing,C800,325,5,37.5,2,30,36000,37895,2013,2,20349B2013,4,90 Broad + 90 @ V12,Broad,V12,90 Broad,DKC66-17,,0.392333333
2020,N sidedress timing,C800,321,5,37.5,2,30,36000,37895,2014,2,20349B2014,8,90 Band + 90 @ V8,Band,V8,90 Band,DKC64-34,,0.475367925
